,,,Avg Response Time,Success Rate
05e5544a-7c4a-4a67-bbad-b48ea81674c6,Suite 076b6a5f-21ea-44ad-8a11-e1c87a10d4a4,,"1,106",0.19
,,Test 40440990-fc52-4b13-b59a-d7ecac23a559,"945",0.40
,,Test 82d6a948-13ad-4295-b820-c7c0e0d65f9a,"1,294",0.20
,,Test cde6d2f8-cf3f-439f-9d70-be2f9576d46c,"850",0.00
,,Test eb2b8422-ffef-45bd-bcb7-89fe24f18545,"1,029",0.15
,Suite 1080a2d1-18d4-4591-a27e-c096255f6f82,,"1,068",0.27
,,Test 0a4211d7-6712-4b7d-8938-cefc786a7dd8,"1,047",0.19
,,Test 0ba98035-0227-4394-95a4-d56017890ad9,"1,015",0.25
,,Test 1dba9fad-c338-4a53-b57e-db7f7baab893,"945",0.31
,,Test 1e91d6b3-3dfc-43dd-abef-aae82255b27a,"1,057",0.07
,,Test 276c42b1-7e8a-4091-8d5e-16f1e4922fcc,"765",0.14
,,Test 2bc10d2e-48a8-425b-8d5c-96b24e987c41,"845",0.00
,,Test 3d96508b-3cbf-426e-beb5-5a4dabaa1fdd,"939",0.44
,,Test 73a9f996-4af5-457a-b566-35a083ce3039,"1,156",0.32
,,Test 7e6d1f9f-4f3a-49e0-9206-680b9fb8c0a9,"1,255",0.25
,,Test 802f1f17-4790-45bf-9bd5-08e2db9f56c3,"988",0.25
,,Test 99bd001c-fc7f-487d-befa-987c20f83a6b,"1,142",0.25
,,Test 9ef645e1-e406-4c62-a376-4ffe6eeb5cae,"808",0.57
,,Test b60f915b-394b-4fb0-b90b-7bb8c557df6f,"981",0.38
,,Test b9acf44b-385e-4cf4-b24d-4436556d3f28,"1,093",0.36
,,Test c08ec62c-0f29-483c-b703-1f5a78d6f509,"1,187",0.31
,,Test d093d85d-a80a-4964-bd5c-7b30d2d8ddeb,"1,142",0.33
,,Test dc1b17ea-b1e8-4666-9478-2ef7bb4fb331,"1,233",0.15
,,Test e71cc5f0-2fc6-43d0-b950-9bdd3b449e28,"1,207",0.30
,Suite 2974ef0a-6722-422c-936c-609911f9ae69,,"1,076",0.25
,,Test 1b421962-1a1e-48b8-892f-8b3bfe499ab9,"1,096",0.08
,,Test 2c888cb2-4ead-47a4-8adc-65be6a4178c9,"893",0.29
,,Test 39f63da2-5416-44d1-b101-e6ff72e64e10,"1,330",0.25
,,Test 5e5460a3-6441-4362-a2b7-8717767a812d,"975",0.22
,,Test 7d0e0edd-2bae-43a7-b26a-1a8b44427369,"953",0.25
,,Test 8a75d6e9-ec4f-4826-9b77-5ae8ad082f77,"726",0.29
,,Test 91883083-d2bf-4a6d-beee-732021ab05f7,"959",0.42
,,Test 9bf912b5-2755-49f2-9386-8c7905865ada,"1,277",0.29
,,Test a4ef4955-6d2e-4aee-a93a-8b8c6e0f1950,"1,187",0.40
,,Test a91767d3-b80f-43e6-be12-625d3875845c,"1,040",0.14
,,Test af68ae72-44fc-42b2-ad38-ef3fd36a7819,"1,123",0.20
,,Test b4a9d263-a8f8-40bd-b5bc-82298d0f99ff,"639",0.00
,,Test c8a9e1a0-6dc3-420f-9078-37e25bdef9ac,"1,397",0.17
,,Test e11dd88c-17d0-48de-a086-51a5214977d1,"917",0.11
,,Test e4797d46-6570-4c98-8f86-dbf013f4057d,"999",0.25
,,Test e49195c0-e5e6-4ac3-8aa9-141550b94de7,"1,201",0.40
,,Test fc50e9fc-baeb-4a2f-a26d-39e83918e3c4,"1,493",0.20
,Suite 83fccc22-63fa-4339-ab5a-9f41109e993f,,"1,067",0.29
,,Test 09b8110a-8749-46c9-9390-35ef034a611b,"971",0.17
,,Test 14780d71-eb71-4966-8b79-8f069c688077,"1,177",0.20
,,Test 1c7dc560-fea6-446a-a66a-cd485f45cae1,"793",0.50
,,Test 23266028-9b6e-4be5-84b0-ef5924ffaeec,"642",0.50
,,Test 2c77000b-d016-4e6c-a4d9-a586afb865a6,"852",0.60
,,Test 51dfc7e9-9e69-4347-9218-a51880e5428c,"1,117",0.33
,,Test 70e6b41d-fb17-4e58-8218-3e6e8118dcac,"876",0.17
,,Test 7fb9dc05-ec8b-4e46-816b-f9cc100aca88,"1,340",0.08
,,Test 815da979-6035-4974-867d-f51484fb3f25,"1,120",0.16
,,Test 87acab87-b06f-4cf1-b3ce-fb5a2c786d18,"1,128",0.53
,,Test 969e4a7b-b608-4d98-9de2-40d354190673,"1,100",0.55
,,Test a24505dc-1f99-461f-89e4-f7f8fbe543e0,"820",0.40
